Word,formal word
musuh-musuh-nya,musuh-musuhnya
keilahian-nya,keilahiannya
karya-nya,karyanya
ludah-nya,ludahnya
kerajaan-mu,kerajaanmu
kanan-mu,kananmu
kiri-mu,kirimu
peluh-nya,peluhnya
pelayan-ku,pelayanku
roti-ku,rotiku
mengikuti-nya,mengikutinya
kebaikan-nya,kebaikannya
kausangka,kau sangka
mayat-nya,mayatnya
diperoleh-nya,diperolehnya
kesaksian-mu,kesaksianmu
kepergian-nya,kepergiannya
digenapi-nya,digenapinya
menghimpit-nya,menghampitnya
menatang-nya,menatanya
disampaikan-nya,disampiakannya
depan-nya,depannya
tahun-tahun-mu,tahun-tahunmu
hadirat-mu,hadiratmu
darah-mu,darahmu
penguburan-ku,penguburanku
amarah-mu,amarahmu
rencana-nya,rancananya
mendapatkan-nya,mendapatkannya
jalan-mu,jalanmu
diakui-nya,diakuinya
penghakiman-ku,penghakimanku
memancing-nya,memancingnya
diucapkan-nya,diucapkannya
sabit-mu,sabitmu
harapan-nya,harapannya
rupa-nya,rupanya
bilur-bilur-nya,bilur-bilurnya
melahirkan-nya,melahirkannya
mengutus-nya,mengutusnya
penyataan-nya,pernyataanya
wajah-nya,wajahnya
keadilan-nya,keadilannya
rambut-nya,rambutnya
kesenangan-nya,kesenangannya
mengerumuni-nya,mengerumuninya
mendengarkan-nya,menderngarkannya
lambung-ku,lambungku
ditaklukkan-nya,ditaklukkannya
diperingatkan-nya,diperingatkannya
membanjiri-nya,membanjirinya
menyalahkan-nya,menyalahkannya
dekat-mu,dekatmu
bangsa-mu,bangsamu
pinggang-nya,pinggangnya
tubuh-ku,tubuhku
perkataan-mu,perkataanmu
dikerjakan-nya,dikerjakannya
hamba-ku,hambaku
jiwa-ku,jiwaku
malaikat-ku,malaikatku
kiri-nya,kirinya
mencium-nya,menciumnya
membantah-nya,membantahnya
dikaruniakan-nya,dikaruniakannya
kemiskinan-nya,kemiskinannya
difahami,dipahami
rumah-mu,rumahmu
doa-nya,doanya
pelayanan-nya,pelayanannya
nabi-nabi-mu,nabi-nabimu
mezbah-mezbah-mu,mezbah-mezbahmu
terang-nya,terangnya
beban-ku,bebanku
karunia-ku,karuniaku
memukuli-nya,memukulinya
mendesak-nya,mendesaknya
menutup-nya,menutupnya
anak-mu,anakmu
kekudusan-nya,kekudusannya
mengelilingi-nya,mengelilinginya
rasul-rasul-nya,rasul-rasulnya
kauhiburkan,kau hiburkan
orang-ku,orangku
lawan-nya,lawannya
bertakhta,bertahta
cawan-ku,cawanku
ciptaan-nya,ciptaannya
disebut-nya,disebutnya
pemilihan-nya,pemilihannya
daging-nya,dagingnya
memusuhi-nya,memusuhinya
leluhur-nya,leluhurnya
perjanjian-nya,perjanjiannya
penasihat-nya,penasihatnya
milik-mu,milikmu
perjalanan-ku,perjalananku
jamuan-ku,jamuanku
dipotong-nya,dipotongnya
dibersihkan-nya,dibersihkannya
menyelamatkan-nya,menyelamatkannya
kesalehan-nya,kesalehannya
takhta-nya,tahtanya
kemurkaan-nya,kemurkaannya
tentara-nya,tentaranya
pekerjaan-mu,pekerjaanmu
dilaksanakan-nya,dilaksanakannya
ditinggikan-nya,ditinggikannya
kepenuhan-nya,kepenuhannya
dikasihani-nya,dikasihaninya
kesabaran-nya,kesabarannya
dilihat-nya,dilihatnya
perbuatan-perbuatan-ku,perbuatan-perbuatanku
dikuduskan-nya,dikuduskannya
kemuliaan-mu,kemuliaanmu
pengurapan-nya,pengurapannya
kauingini,kau ingini
isteriku,istriku
kaulahirkan,kau lahirkan
diterima-nya,diterimanya
sabit-nya,sabitnya
musuh-nya,musuhnya
mengambil-nya,mengambilnya
kauikuti,kau ikuti
dicurahkan-nya,dicurahkannya
kuasa-mu,kuasamu
takhta-mu,tahta mu
milik-ku,milikku
kebiasaan-nya,kebiasaannya
luka-lukanya,luka-lukanya
ditangan-nya,ditangannya
paha-nya,pahanya
mencela-nya,mencelanya
kautegor,kau tegur
putusan-nya,putusannya
diderita-nya,dideritanya
juruselamatku,juru selamatku
sekutu-mu,sekutumu
pertolongan-nya,pertolongannya
menyalibkan-nya,menyalibkannya
kehidupan-nya,kehidupannya
kaubaca,kau baca
bawah-nya,bawahnya
kauikat,kau ikat
kaulepaskan,kau lepaskan
diperdamaikan-nya,diperdamaikannya
diputuskan-nya,diputuskannya
dipadamkan-nya,dipadamkannya
allah-ku-allah-ku,allahku allahku
kota-nya,kotanya
kedatangan-mu,kedatanganmu
sejahtera-nya,sejahteranya
dikunjungi-nya,dikunjunginya
yoÃ«l,<nan>
kaucurahkan,kau curahkan
